MAV> dump GPS
2026-03-06 03:29:39.000 GPS {TimeUS : 16199351, I : 0, Status : 6, GMS : 444597000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:39.199 GPS {TimeUS : 16399271, I : 0, Status : 6, GMS : 444597200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:39.399 GPS {TimeUS : 16599191, I : 0, Status : 6, GMS : 444597400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:39.599 GPS {TimeUS : 16799111, I : 0, Status : 6, GMS : 444597600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:39.799 GPS {TimeUS : 16999031, I : 0, Status : 6, GMS : 444597800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:40.000 GPS {TimeUS : 17199784, I : 0, Status : 6, GMS : 444598000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:40.200 GPS {TimeUS : 17399704, I : 0, Status : 6, GMS : 444598200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:40.400 GPS {TimeUS : 17599624, I : 0, Status : 6, GMS : 444598400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:40.600 GPS {TimeUS : 17799544, I : 0, Status : 6, GMS : 444598600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:40.800 GPS {TimeUS : 17999464, I : 0, Status : 6, GMS : 444598800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:41.000 GPS {TimeUS : 18199384, I : 0, Status : 6, GMS : 444599000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:41.199 GPS {TimeUS : 18399304, I : 0, Status : 6, GMS : 444599200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:41.399 GPS {TimeUS : 18599224, I : 0, Status : 6, GMS : 444599400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:41.599 GPS {TimeUS : 18799144, I : 0, Status : 6, GMS : 444599600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:41.799 GPS {TimeUS : 18999064, I : 0, Status : 6, GMS : 444599800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:42.000 GPS {TimeUS : 19199817, I : 0, Status : 6, GMS : 444600000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:42.200 GPS {TimeUS : 19399737, I : 0, Status : 6, GMS : 444600200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:42.400 GPS {TimeUS : 19599657, I : 0, Status : 6, GMS : 444600400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:42.600 GPS {TimeUS : 19799577, I : 0, Status : 6, GMS : 444600600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:42.800 GPS {TimeUS : 19999497, I : 0, Status : 6, GMS : 444600800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
